DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
1,0,0,0,0,0,0,0,17177,12,587.88,FALSE,FALSE,37,Y,Y,Business/Commercial,63.483333
2,0,0,0,0,0,0,0,4553,22,1353.33,FALSE,FALSE,62,Y,N,Business/Commercial,61.883333
16,0,0,0,0,0,0,0,10355,39,1151.83,FALSE,FALSE,373,Y,Y,Business/Commercial,78.833333
1,0,0,0,0,0,0,0,1911,1,330.67,FALSE,FALSE,46,Y,Y,Distribution Center,26.583333
0,0,0,0,0,3,0,0,14787,21,832.32,FALSE,FALSE,128,Y,Y,Business/Commercial,38.716667
2,0,0,0,0,0,0,0,1253,3,233.48,FALSE,FALSE,121,Y,Y,Distribution Center,49.683333
2,0,0,0,0,0,0,0,2063,4,440.33,FALSE,FALSE,72,Y,Y,Business/Commercial,37.333333
1,0,0,0,0,0,0,0,701,1,431.04,FALSE,FALSE,17,Y,N,Business/Commercial,21.816667
0,0,0,0,0,1,0,0,10104,3,447.77,FALSE,FALSE,13,Y,Y,Business/Commercial,31.266667
1,0,0,0,0,0,0,0,2885,4,537,FALSE,FALSE,29,Y,Y,Grocery Warehouse,26.1
1,0,0,0,0,0,0,0,1187,1,350.5,FALSE,FALSE,18,Y,Y,Government Sites: Natural Gas or Oil Field,58.433333
1,0,0,0,0,0,0,0,495,0,141.66,FALSE,FALSE,28,Y,Y,Business/Commercial,36.35
0,0,0,0,0,1,0,0,728,1,322.55,FALSE,FALSE,77,N,Y,Business/Commercial,46.816667
1,0,0,0,0,0,0,0,1100,1,429.18,FALSE,FALSE,45,Y,Y,Business/Commercial,28.083333
1,0,0,0,0,0,0,0,1691,1,491.62,FALSE,FALSE,78,Y,Y,Business/Commercial,18.8
1,0,0,0,0,0,0,0,1533,1,486.05,FALSE,FALSE,11,U,Y,U,34.616667
0,0,0,0,0,1,0,0,871,1,465.45,FALSE,FALSE,33,Y,Y,Business/Commercial,46.766667
1,0,0,0,0,0,0,0,3910,2,199.35,FALSE,FALSE,77,Y,Y,Business/Commercial,63.7
